GEOID,county_name,pct_developed,pct_protected
06037,Los Angeles,33.60236065852183,30.81383179284289
06087,Santa Cruz,15.901115608402622,9.16773115153117
06097,Sonoma,11.301359451031393,8.07053319676259
06013,Contra Costa,34.586677160330474,11.466911527402667
06003,Alpine,0.7446981643498903,93.88061170976253
06057,Nevada,8.391089506453737,37.66777118814758
06007,Butte,7.6399733546882596,21.186723404706143
06089,Shasta,5.140778661892142,42.647591745283236
06047,Merced,6.300394976500198,16.255267980058864
06009,Calaveras,5.4275700128114,20.38040451476576
06033,Lake,4.113595985127388,51.284704486209314
06115,Yuba,7.11323734695122,15.482186394038974
06073,San Diego,17.561450835291595,22.44302866611725
06065,Riverside,10.45860147621791,64.71553443180547
06041,Marin,13.663641278788907,36.46199225417542
06081,San Mateo,30.013536710450296,26.471002073679667
06017,El Dorado,7.161042187580848,48.38883985265707
06107,Tulare,4.458410352263484,51.18550267549049
06067,Sacramento,33.675961652374085,7.5474380064899425
06069,San Benito,2.3049118105269577,16.904960923610364
06005,Amador,6.214775769169895,23.677507824478866
06101,Sutter,7.4542912589421455,5.441317667670065
06113,Yolo,7.5436368899194255,11.654630353994639
06011,Colusa,2.869863637306064,19.046493983429706
06063,Plumas,3.830444520919179,72.28162473474846
06099,Stanislaus,10.682392191893884,5.28267559404248
06105,Trinity,2.6542178219924124,77.67976466981436
06071,San Bernardino,3.461892285515758,71.12983168405793
06001,Alameda,33.786444907369244,9.479336472730129
06051,Mono,1.0814423240933315,91.54567220196223
06053,Monterey,4.85206532099992,20.15322520323469
06027,Inyo,0.3209203390051048,87.22551585823834
06085,Santa Clara,25.088442245970725,13.981356902269889
06023,Humboldt,3.662598588306396,23.796172943389976
06091,Sierra,2.9969983787416883,74.17613090490715
06039,Madera,4.959824298091473,36.772809961263846
06077,San Joaquin,15.42004885997056,1.9526980349665126
06019,Fresno,6.100553396533948,40.88543775780539
06111,Ventura,11.528712713336478,50.95700375675071
06093,Siskiyou,3.1153427473146222,63.71144791807646
06045,Mendocino,2.8874360688946616,21.815069435666175
06021,Glenn,3.8157524756963905,28.877574505631475
06015,Del Norte,3.508829580034435,71.02878968499535
06025,Imperial,2.817688012162814,52.358795392788274
06061,Placer,11.960889591307934,43.712678455781145
06043,Mariposa,2.3819527856270994,54.15050072212866
06055,Napa,7.346064587892194,23.872543815426024
06083,Santa Barbara,5.459025461626333,46.26957606062047
06109,Tuolumne,2.7639259280196113,75.40830429515071
06059,Orange,61.0913787114685,20.136786375728928
06079,San Luis Obispo,4.35266172749534,27.08600996393623
06095,Solano,14.033686970651864,9.312829488775508
06049,Modoc,1.5316445796191118,64.46953857634375
06029,Kern,6.142575921378515,29.895659480285396
06031,Kings,6.976621690777239,5.301834343300994
06103,Tehama,3.5983260948796403,35.36946168710686
06035,Lassen,2.011689086120574,59.18946761563796
06075,San Francisco,95.60281290644956,6.9856442527012135
