metric,n
raw_rows,2008
rows_after_basic_filters,508
postfilter_species: Aeorestes cinereus,239
postfilter_species: Myotis yumanensis,148
postfilter_species: Myotis californicus,121
postfilter_year: 2016,86
postfilter_year: 2015,53
postfilter_year: 2017,46
postfilter_year: 2020,44
postfilter_year: 2021,44
postfilter_year: 2024,38
postfilter_year: 2022,35
postfilter_year: 2023,35
postfilter_year: 2012,28
postfilter_year: 2014,26
postfilter_year: 2018,26
postfilter_year: 2019,24
postfilter_year: 2013,23
